term_a,freq_a,term_b,freq_b,cosine_similarity
备用,1,材料,1,0.053802
分开,1,备用,1,0.053515
结块,1,香味,1,0.053374
准备,7,调味,4,0.053132
进去,13,香味,1,0.05306
炒熟,2,香味,1,0.052744
普通,1,结块,1,0.052513
弄散,1,粘锅,1,0.052375
关火,1,打入,3,0.052245
备用,1,简单,1,0.052108
开火,1,结块,1,0.051944
入锅,1,油热,1,0.051879
一起,2,碗中,1,0.051639
继续,1,葱花,4,0.051518
混合,2,粘锅,1,0.050697
时候,2,饭粒,1,0.050145
打入,3,步骤,1,0.050002
口味,1,步骤,1,0.049911
放油,1,碗中,1,0.049273
调味,4,铲子,2,0.049259
炒好,1,饭粒,1,0.049181
打散,6,沾上,1,0.04915
加热,7,锅里,4,0.049105
均匀,3,步骤,1,0.049009
简单,1,结块,1,0.048809
沾上,1,炒熟,2,0.04849
混合,2,调味,4,0.048226
关火,1,炒好,1,0.048223
入锅,1,饭粒,1,0.047936
分开,1,搅匀,1,0.047817
打入,3,鸡蛋,35,0.047799
结块,1,葱花,4,0.047715
加盐,2,炒出来,1,0.04753
放油,1,蛋炒饭,4,0.047208
压散,1,放油,1,0.047082
差不多,3,粘锅,1,0.04682
混合,2,铲子,2,0.046501
进去,13,饭粒,1,0.046465
压开,1,弄散,1,0.046032
入锅,1,弄散,1,0.046006
步骤,1,饭粒,1,0.045969
步骤,1,碗中,1,0.045865
压散,1,铲子,2,0.045544
加热,7,放油,1,0.045404
材料,1,继续,1,0.045329
打入,3,进去,13,0.045272
一起,2,备用,1,0.045152
关火,1,材料,1,0.044843
压散,1,简单,1,0.044535
材料,1,碗中,1,0.044517
入锅,1,加热,7,0.044341
开火,1,弄散,1,0.043222
出锅,3,材料,1,0.042402
调味,4,颜色,1,0.041637
倒进,1,粘锅,1,0.04162
